Articulo,Sum of Ganancia,Sum of Importe,Sum of Importe USD,Sum of Cantidad,Sum of Hormas
QU48 - Queso Muzarella   COLONIAL  Barra 3.7 kg,2842999.890000002,12395142.099588873,327018.8276862275,52172.162999999986,15044
QU3170 - Queso Muzarella para pizza COLONIAL Barra 3.7 kg,1751884.497000001,9014686.279660016,237629.52007460318,38096.31,11066
QU47 - Queso Dambo Sandwichero   COLONIAL  Barra 3.8 kg,2986775.122000001,8725144.155640263,230236.15810973634,35228.132,10140
QU1618 - Queso muzarella   COLONIAL  Barra 3.6 kg,459314.843,8377976.397,221787.4,43308,12540
DL1531 - Dulce de Leche Alfajor   COLONIAL  bolsa 25 kg,2178958.164,8211108.449,216660.441,5045,0
CL66 - Crema de Leche COLONIAL Sachet 1 lt,1980132.5330000024,5718342.451004558,150751.5934317339,50479,0
1146 - CREMA LECHE GRANEL,1050883.826,5027604.4,133485.673,51800,0
QU3253 - Queso Muzarella  Calcar Barra 3.6 kg,2881937.654,4326669.806,113663.098,145190.262,42180
QU5040 - Queso Sandwichero/Gouda/Edam  Barra 3.8 kg,230830.767,3544027.911,93487.771,19681.636,5754
CL67 - Crema de Leche COLONIAL Sachet 0.5 lt,1474916.561000002,3420483.965681101,90162.4046052524,51535,0
YG71 - Yogur Semidescremado   COLONIAL Natural Sachet 1 lt,1445251.5050000004,2591432.826368822,68336.62971755526,54480,0
5059 - Queso MP para fundido,-66333.046,2323463.87,61401.511000000006,14323.039999999999,0
DL5042 - Dulce de leche Repostero COLONIAL  Balde 25 kg,706491.2550000001,2172273.959,57340.66700000001,1114,0
DL13 - Dulce de Leche Repostero   COLONIAL  bolsa 25 kg,753007.9750000001,2162112.096,57088.006000000016,1285,0
CL68 - Crema de Leche COLONIAL  Sachet 0.25 lt,1098136.4460000016,1876385.0827878048,49459.09331966529,40329,0
QU3240 - Queso Muzarella  PLANTA FETEO Barra 3.6 kg,591541.2690000001,1751185.3319999995,46260.31789620299,6406.623000000001,1864
QU5038 - Queso Prato COLONIAL  Barra 3.7 kg,175875.323,1732533,46035,8950,2436
YG69 - Yogur Semidescremado   COLONIAL Frutilla Sachet 1 lt,842143.5140000004,1638927.9708106697,43224.085601181345,35448,0
DL16 - Dulce de Leche Cremoso   PUERTO DEL SAUCE  Pote Plastico 900 gr,524655.6900000002,1540112.8202281063,40653.9506878121,20910,0
DL6 - Dulce de Leche Supercrema   COLONIAL  envase descartable  5 kg,404094.73699999903,1375614.070030052,36291.8410784335,3369,0
YG72 - Yogur Semidescremado   COLONIAL Vainilla Sachet 1 lt,665195.8759999999,1207923.1074376642,31835.183270915048,25496,0
YG70 - Yogur Semidescremado   COLONIAL Durazno Sachet 1 lt,582622.784000001,1149758.2452560503,30308.978774692816,25073,0
DL1868 - Dulce de Leche Repostero   COLONIAL  envase  descartable 3 kg,410167.439,1129425.2118405055,29786.488043477693,3995,0
QU41 - Queso Ricota   COLONIAL  Barra 5 kg,1026061.9270000004,1108128.5070466592,29234.866221324595,16163.781999999994,3460
DL5046 - Dulce de Leche Repostero Esp COLONIAL envase descartable 5 kg,433171.3070000001,1090283.9389481253,28731.338265116145,2382,0
DL1 - Dulce de Leche Supercrema COLONIAL  Pote Plastico 1 kg,358811.40699999954,1028372.1689829807,27095.730335262066,10788,0
DL5087 - Dulce de leche Repostero COLONIAL Lestonsur Bolsa 25 kg,326943.422,972022.0059999999,25717.504,534,0
QU5069 - Queso Dambo CALCAR Barra 3.2 kg,553056.611,891943.859,23490.700000000004,29931.002,8538
QU58 - Queso Magro sin sal  COLONIAL  Barra 2.8 kg,437208.4960000001,877180.3567016562,23130.79677314101,2717.0760000000014,760
QU52 - Queso Parrillero   COLONIAL  Feteado 0.35 kg,274980.5100000001,867903.0979780495,22839.377451648506,2484.9780000000005,10584
DL1423 - Dulce de Leche Exportación   PUNTA BALLENA  frasco vidrio 0.8 kg,225311.425,863961.8400000001,22728.471,9324,0
QU5051 - Queso Muzarella Hebras COLONIAL x 2 kgs,358362.68700000003,855770.652,22593.958000000006,1349,0
DL2411 - Dulce de Leche Alfajor COLONIAL x 25 kg,341624.302,810776.4040000001,21401.601000000002,386,0
 - CONSUMO UTE PERIODO MAYO 2022 - MAYO 2023,0,803738,21063.973,0,0
RV2802 - Queso Sandwich Puerto del Sauce barra 4kg,265665.544,759380.6519453035,19975.121391236244,4459.87,1109
CL1876 - Crema de Leche COLONIAL  bolsa 10 lt,78187.01699999999,731551.973,19371.39,869,0
DL5088 - Dulce de Leche SALAMANCA Pote Plastico 1 kg,230959.00300000006,701438.331,18443.85742,7986,0
5064 - Suero Liquido Venta,692606.996,693943.98,18424.596,948945,
QU59 - Queso Magro   COLONIAL  Barra 2.8 kg,326564.875,680941.7284157109,17963.699677542318,2163.652,680
YG3135 - Yogur Deslactosado Light  COLONIAL Natural Pote Plastico 0.5 lt,384343.43799999915,679636.6871732179,17910.090036762405,13336,0
LE75 - Leche Entera   COLONIAL  Sachet 1 lt,263472.23900000006,658274.2720000001,17345.261000000002,21751,0
